,Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source,Browser,Device/OS,Year,Month,Day,Hour,Minute,Second,DayOfWeek
0,2023-05-30 06:33:58,103.216.15.12,84.9.164.252,31225,17616,ICMP,503,Data,HTTP,"Qui natus odio asperiores nam. Optio nobis iusto accusamus ad perferendis esse at. Asperiores neque at ad.
Maiores possimus ipsum saepe vitae. Ad possimus veritatis.",IoC Detected,28.67,no,Malware,Known Pattern B,Logged,Low,Reyansh Dugal,Segment A,"Jamshedpur, Sikkim",150.9.97.135,Log Data,No Data,Server,Mozilla,Windows,2023,5,30,6,33,58,1
1,2020-08-26 07:08:30,78.199.217.198,66.191.137.154,17245,48166,ICMP,1174,Data,HTTP,"Aperiam quos modi officiis veritatis rem. Omnis nulla dolore perspiciatis.
Illo animi mollitia vero voluptates error ad. Quidem maxime eaque optio a. Consectetur quasi veniam et totam culpa ullam.",IoC Detected,51.5,no,Malware,Known Pattern A,Blocked,Low,Sumer Rana,Segment B,"Bilaspur, Nagaland",No proxy,Log Data,No Data,Firewall,Mozilla,Windows,2020,8,26,7,8,30,2
2,2022-11-13 08:23:25,63.79.210.48,198.219.82.17,16811,53600,UDP,306,Control,HTTP,Perferendis sapiente vitae soluta. Hic delectus quae nemo ea esse est rerum.,IoC Detected,87.42,yes,DDoS,Known Pattern B,Ignored,Low,Himmat Karpe,Segment C,"Bokaro, Rajasthan",114.133.48.179,Log Data,Alert Data,Firewall,Mozilla,Windows,2022,11,13,8,23,25,6
3,2023-07-02 10:38:46,163.42.196.10,101.228.192.255,20018,32534,UDP,385,Data,HTTP,Totam maxime beatae expedita explicabo porro labore. Minima ab fugit officiis dicta perspiciatis pariatur. Facilis voluptates eligendi dolores eveniet deserunt. Eveniet reprehenderit culpa quo.,No Detection,15.79,yes,Malware,Known Pattern B,Blocked,Medium,Fateh Kibe,Segment B,"Jaunpur, Rajasthan",No proxy,No Data,Alert Data,Firewall,Mozilla,Macintosh,2023,7,2,10,38,46,6
4,2023-07-16 13:11:07,71.166.185.76,189.243.174.238,6131,26646,TCP,1462,Data,DNS,"Odit nesciunt dolorem nisi iste iusto. Animi voluptates soluta quis doloribus quas. Iure harum nihil hic illo repellendus.
Quia illo fugit eligendi doloremque. In doloremque autem iure.",No Detection,0.52,yes,DDoS,Known Pattern B,Blocked,Low,Dhanush Chad,Segment C,"Anantapur, Tripura",149.6.110.119,No Data,Alert Data,Firewall,Mozilla,Windows,2023,7,16,13,11,7,6
5,2022-10-28 13:14:27,198.102.5.160,147.190.155.133,17430,52805,UDP,1423,Data,HTTP,Repellat quas illum harum fugit incidunt exercitationem illum. Voluptate asperiores aperiam magnam eius. Eos quis repellat eos.,No Detection,5.76,no,Malware,Known Pattern A,Logged,Medium,Zeeshan Viswanathan,Segment C,"Aurangabad, Meghalaya",No proxy,No Data,No Data,Server,Opera,Linux,2022,10,28,13,14,27,4
6,2022-05-16 17:55:43,97.253.103.59,77.16.101.53,26562,17416,TCP,379,Data,DNS,"Qui numquam inventore repellat ratione fugit odit. Quidem est possimus voluptates reprehenderit vitae a. Quibusdam in itaque rerum.
Excepturi quisquam iusto provident adipisci.",No Detection,31.55,no,DDoS,Known Pattern B,Ignored,High,Ehsaan Dalal,Segment A,"Eluru, Manipur",No proxy,Log Data,No Data,Server,Opera,Linux,2022,5,16,17,55,43,0
7,2023-02-12 07:13:17,11.48.99.245,178.157.14.116,34489,20396,ICMP,1022,Data,DNS,"Amet libero optio quidem praesentium libero. Ea magnam atque corporis ipsum iure iusto.
Eveniet dolor odio libero. Minus iste fugit asperiores minima eos ipsum.",IoC Detected,54.05,yes,Intrusion,Known Pattern A,Logged,High,Yuvaan Dubey,Segment A,"Phagwara, Andhra Pradesh",192.31.159.5,Log Data,Alert Data,Firewall,Mozilla,Macintosh,2023,2,12,7,13,17,6
8,2023-06-27 11:02:56,49.32.208.167,72.202.237.9,56296,20857,TCP,1281,Control,FTP,Veritatis nihil amet atque molestias aperiam minus. Velit hic aperiam iusto vitae nulla dolor maxime. Atque aspernatur reiciendis in.,IoC Detected,56.34,yes,Intrusion,Known Pattern A,Blocked,High,Zaina Iyer,Segment B,"Ambala, Tripura",No proxy,Log Data,Alert Data,Server,Mozilla,Macintosh,2023,6,27,11,2,56,1
9,2021-08-15 22:29:04,114.109.149.113,160.88.194.172,37918,50039,UDP,224,Data,HTTP,Consequatur ipsum autem reprehenderit quae. Doloribus dicta laboriosam porro consequatur dicta deleniti. Hic doloribus non aliquam.,No Detection,16.51,yes,Malware,Known Pattern B,Blocked,Medium,Mishti Chaudhuri,Segment A,"Rampur, Mizoram",87.128.245.244,No Data,No Data,Server,Mozilla,Windows,2021,8,15,22,29,4,6
10,2022-07-20 13:28:50,177.21.83.200,196.218.124.169,35538,35006,ICMP,661,Data,HTTP,"Sequi maxime voluptate ea. Eius officiis eaque. Nesciunt aspernatur rerum qui aperiam earum.
Eius dolore molestias. Voluptas laboriosam vero suscipit assumenda inventore.",No Detection,24.91,yes,Malware,Known Pattern B,Ignored,Medium,Hunar Sem,Segment B,"Gangtok, Haryana",29.161.99.247,No Data,No Data,Server,Mozilla,iPod,2022,7,20,13,28,50,2
11,2022-06-26 15:15:50,92.4.25.171,112.43.185.24,10903,36817,TCP,281,Control,HTTP,Nihil praesentium asperiores omnis ullam libero. Facilis eius aspernatur perspiciatis inventore veniam. Laborum nobis ex iste.,No Detection,86.07,no,Malware,Known Pattern B,Ignored,Low,Mehul Raj,Segment B,"Nandyal, Mizoram",No proxy,No Data,No Data,Firewall,Opera,Linux,2022,6,26,15,15,50,6
